model_name,price
"Lenovo Lenovo Thinkpad L Series L14 GEN 1 (Intel Core i3 10th Gen 14 Inch)","₹20899"
"Lenovo Thinkpad T Series Thinkpad T14 Gen 2i (Intel Core i5 11th Gen 14 Inch)","₹26999"
"Lenovo Lenovo LOQ Series 15IRH8 (Intel Core i5 12th Gen 15.6 Inch)","₹33999"
"Lenovo Thinkpad E Series E495 (AMD Ryzen5 3000U Series 14 Inch)","₹18999"
"Lenovo ideapad Slim 5 Series 14IAH8 (Intel Core i5 12th Gen 14 Inch)","₹32999"
"Lenovo IdeaPad Slim 3i Series 15IAU7 (Intel Core i3 15.6 Inch)","₹23999"
"Lenovo Thinkpad T Series T14 Gen 1 Touch screen (Intel Core i5 10th Gen 14 Inch)","₹28999"
"Lenovo Thinkpad L Series L490 (Intel Core i5 8th Gen 14 Inch)","₹19499"
"Lenovo Lenovo V Series Lenovo V14-IIL (Intel Core i3 10th Gen 14 Inch)","₹19999"
"Lenovo Thinkpad E Series E14 (Intel Core i5 10th Gen 14 Inch)","₹24999"
"Lenovo Lenovo LOQ Series 15IAX9 (Intel Core i5 12th Gen 15.6 Inch)","₹36499"
"Lenovo Thinkpad L Series L480 (Intel Core i5 8th Gen 14 Inch)","₹15499"
"Lenovo Yoga 9 Series 13IRU8 Touch Screen (Intel Core i7 13th Gen 13.3 Inch)","₹44999"
"Lenovo Thinkpad T Series Thinkpad T14 Gen 2i (Intel Core i7 11th Gen 14 Inch)","₹34999"
"Lenovo Thinkpad T Series thinkpad T490 (Intel Core i5 8th Gen 14 Inch)","₹19999"
"Lenovo Thinkpad E Series E480 (Intel Core i3 8th Gen 14 Inch)","₹12999"
"Lenovo Thinkpad T Series T470 Touch Screen (Intel Core i5 7th Gen 14 Inch)","₹17499"
"Lenovo Thinkpad L Series L14 Gen 2 Touch Screen (Intel Core i7 11th Gen 14 Inch)","₹33999"
"Lenovo Yoga 7 Series 14IRL8 Touch Screen (Intel Core i7 13th Gen 14 Inch)","₹49999"
"Lenovo IdeaPad 3 Series 14IAU7 (Intel Core i5 12th Gen 14 Inch)","₹32999"
"Lenovo IdeaPad 5 Pro Series 16IMH9 (ULTRA 7 16 Inch)","₹99999"
"Lenovo IdeaPad 3 Series 15ITL6 (Intel Core i7 11th Gen 15.6 Inch)","₹39999"
"Lenovo IdeaPad 5 Series ideapd 5 2-in-1 14irh9 1 Touch screen (Intel Core i7 13th Gen 14 Inch)","₹63599"
"Lenovo IdeaPad Slim 3 Series 15IRH8 (Intel Core i5 13th Gen 15.6 Inch)","₹49999"
"Lenovo Lenovo V Series V14 g4 ABP (AMD Ryzen5 7000U Series 14 Inch)","₹29999"
"Lenovo Lenovo V Series V14 G3 IAP 1 (Intel Core i5 12th Gen 14 Inch)","₹33999"
"Lenovo Legion 7 Series 16IAX7 (Intel Core i9 12th Gen 15.6 Inch)","₹49999"
"Lenovo IdeaPad S Series S145-14AST (AMD A4 9th Gen 14 Inch)","₹13999"
"Lenovo IdeaPad Slim 3 Series 15abr8 (AMD Ryzen7 7000U Series 15.6 Inch)","₹29999"
"Lenovo Thinkpad T Series T470p (Intel Core i7 7th Gen 14 Inch)","₹22999"
"Lenovo Legion 5 Series 15ARH05 (AMD Ryzen5 4000H Series 15.6 Inch)","₹28999"
"Lenovo Thinkpad L Series L14 Gen 2 (Intel Core i5 10th Gen 14 Inch)","₹25999"
"Lenovo Yoga Slim 6i Series 14IRP8 (Intel Core i5 13th Gen 14 Inch)","₹57699"
"Lenovo Thinkpad T Series thinkpad T490 (Intel Core i7 8th Gen 14 Inch)","₹21999"
"Lenovo Thinkpad X Series X270 (Intel Core i7 7th Gen 12.5 Inch)","₹22999"
"Lenovo Yoga Slim 7 Pro Series 14IAP7 (Intel Core i7 12th Gen 14 Inch)","₹59999"
"Lenovo ideapad Slim 5 Series 14ABR8 (AMD Ryzen5 7000U Series 14 Inch)","₹26999"
"Lenovo Thinkpad T Series thinkpad T490 (Amd Ryzen5 Pro 3000U Series 14 Inch)","₹24999"
"Lenovo Thinkpad E Series E14 (Intel Core i3 11th Gen 14 Inch)","₹20999"
